seq_id	Sample
GmC02057	GmC02057_CKDL210018111-1a-AK7010-7UDI227_HH72GDSX2_L1
GmC02059	GmC02059_CKDL210018111-1a-AK8410-AK8544_HH72GDSX2_L1
GmC02063	GmC02063_CKDL210018111-1a-AK6881-AK8544_HH72GDSX2_L1
GmC02064	GmC02064_CKDL210018111-1a-AK6260-7UDI298_HH72GDSX2_L1
GmC02066	GmC02066_CKDL210018111-1a-AK3905-AK4997_HH72GDSX2_L1
GmC02068	GmC02068_CKDL210018111-1a-AK7759-AK8544_HH72GDSX2_L1
GmC02069	GmC02069_CKDL210018111-1a-AK8410-7UDI298_HH72GDSX2_L1
GmC02072	GmC02072_CKDL210018111-1a-AK8410-AK9148_HH72GDSX2_L1
GmC02075	GmC02075_CKDL210018111-1a-AK9142-7UDI227_HH72GDSX2_L1
GmC02077	GmC02077_CKDL210018111-1a-AK7761-7UDI298_HH72GDSX2_L1
GmC02080	GmC02080_CKDL210018111-1a-AK9141-AK8544_HH72GDSX2_L1
GmC02082	GmC02082_CKDL210018111-1a-AK3905-AK892_HH72GDSX2_L1
GmC02083	GmC02083_CKDL210018111-1a-AK3905-AK33_HH72GDSX2_L1
GmC02086	GmC02086_CKDL210018111-1a-AK7759-AK33_HH72GDSX2_L1
GmC02087	GmC02087_CKDL210018111-1a-AK8410-AK33_HH72GDSX2_L1
GmC02092	GmC02092_CKDL210018111-1a-AK9141-AK892_HH72GDSX2_L1
GmC02095	GmC02095_CKDL210018111-1a-AK7761-7UDI227_HH72GDSX2_L1
