Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
GmA02004_CKDL210018111-1a-5UDI225-AK4236_HH72GDSX2_L1_clmp_fp2_r2_screen	39741.0	4296.0	17738.0	1513.0	154.0	40.0	37.0	18.0	2.0	0.0	0.0	35190.0	375016.0
GmA02005_CKDL210018111-1a-5UDI225-AK10343_HH72GDSX2_L1_clmp_fp2_r1_screen	41649.0	11928.0	7444.0	3340.0	617.0	72.0	136.0	125.0	2.0	0.0	0.0	55242.0	1191249.0
GmA02005_CKDL210018111-1a-5UDI225-AK10343_HH72GDSX2_L1_clmp_fp2_r2_screen	41660.0	12045.0	7490.0	3227.0	656.0	79.0	173.0	119.0	2.0	0.0	0.0	54973.0	1191380.0
GmA02006_CKDL210018111-1a-5UDI225-AK4234_HH72GDSX2_L1_clmp_fp2_r1_screen	32920.0	11417.0	4106.0	1572.0	497.0	82.0	163.0	96.0	5.0	0.0	0.0	50218.0	1145227.0
GmA02006_CKDL210018111-1a-5UDI225-AK4234_HH72GDSX2_L1_clmp_fp2_r2_screen	32497.0	11280.0	4128.0	1622.0	548.0	75.0	156.0	121.0	3.0	0.0	0.0	50396.0	1145477.0
GmA02007_CKDL210018111-1a-AK9144-AK8488_HH72GDSX2_L1_clmp_fp2_r1_screen	877562.0	29276.0	12921.0	3240.0	685.0	167.0	257.0	208.0	4.0	0.0	0.0	178376.0	1859946.0
GmA02007_CKDL210018111-1a-AK9144-AK8488_HH72GDSX2_L1_clmp_fp2_r2_screen	873298.0	29076.0	12938.0	3223.0	662.0	171.0	263.0	199.0	0.0	0.0	0.0	176941.0	1865871.0
GmA02008_CKDL210018111-1a-AK9144-AK10343_HH72GDSX2_L1_clmp_fp2_r1_screen	933110.0	24626.0	13729.0	7686.0	504.0	341.0	61.0	30.0	5.0	0.0	0.0	224127.0	2374439.0
GmA02008_CKDL210018111-1a-AK9144-AK10343_HH72GDSX2_L1_clmp_fp2_r2_screen	928158.0	24590.0	13725.0	7561.0	518.0	362.0	53.0	38.0	3.0	0.0	0.0	223485.0	2380165.0
GmA02017_CKDL210018111-1a-5UDI225-AK8488_HH72GDSX2_L1_clmp_fp2_r1_screen	33655.0	9480.0	17116.0	1436.0	375.0	80.0	117.0	89.0	3.0	0.0	0.0	45927.0	979934.0
